SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,PCNTCHANGE,POPESTIMATE2013,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,RBIRTH2011,RBIRTH2012,RBIRTH2013,RDEATH2011,RDEATH2012,RDEATH2013,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RNETMIG2011,RNETMIG2012,RNETMIG2013
50,3,6,1,1,Alabama,Autauga County,54571,54571,54613,55278,1.217659,55246,42,665,-13,-19,170,636,607,601,146,493,490,469,24,143,117,132,33,49,40,40,-20,428,-180,-173,13,477,-140,-133,5,45,10,-18,455,455,455,455,455,11.57510624,10.98215174,10.8767453,8.972527323,8.865328424,8.487842839,2.602578919,2.116823318,2.388902462,0.891792777,0.72370028,0.723909837,7.789536905,-3.256651258,-3.130910045,8.681329681,-2.532950978,-2.407000208
50,3,6,1,3,Alabama,Baldwin County,182265,182265,183223,186727,1.912424,195540,958,3504,3948,4865,549,2187,2127,2206,536,1852,1788,1850,13,335,339,356,71,270,301,288,855,2730,3261,4072,926,3000,3562,4360,19,169,47,149,2307,2307,2263,2244,2240,11.82321935,11.27180036,11.42368888,10.01216381,9.475307497,9.580156131,1.811055548,1.796492864,1.843532747,1.45965671,1.595116083,1.491397279,14.75875118,17.28130747,21.08670041,16.21840789,18.87642355,22.57809769
50,3,6,1,5,Alabama,Barbour County,27457,27457,27341,27301,-0.1463,27076,-116,-40,-69,-156,69,334,277,296,130,309,268,294,-61,25,9,2,5,23,17,17,-60,-89,-94,-200,-55,-66,-77,-183,0,1,-1,25,3193,3193,3382,3387,3388,12.22502837,10.1589863,10.9007881,11.30998133,9.828910935,10.82713412,0.915047033,0.330075367,0.073653974,0.841843271,0.623475694,0.626058776,-3.257567439,-3.447453835,-7.365397363,-2.415724168,-2.823978142,-6.739338587
50,3,6,1,7,Alabama,Bibb County,22915,22919,22883,22770,-0.493816,22512,-36,-113,-108,-150,57,266,242,250,28,242,242,224,29,24,0,26,2,6,4,5,-66,-131,-112,-165,-64,-125,-108,-160,-1,-12,0,-16,2224,2224,2224,2224,2226,11.65312247,10.65328403,11.06831363,10.60171292,10.65328403,9.917209014,1.051409546,0,1.151104618,0.262852387,0.176087339,0.221366273,-5.738943771,-4.930445501,-7.305086997,-5.476091385,-4.754358162,-7.083720724
50,3,6,1,9,Alabama,Blount County,57322,57322,57352,57742,0.680011,57872,30,390,65,65,152,744,695,698,130,570,572,563,22,174,123,135,9,36,19,20,1,124,-72,-71,10,160,-53,-51,-2,56,-5,-19,489,489,489,489,489,12.92856274,12.0295286,12.06787749,9.904947261,9.900561667,9.733832416,3.02361548,2.128966932,2.334045073,0.625575617,0.328864811,0.345784455,2.154760457,-1.246224545,-1.227534816,2.780336073,-0.917359735,-0.881750361
50,3,6,1,11,Alabama,Bullock County,10914,10915,10881,10618,-2.417057,10639,-34,-263,-13,34,39,169,128,129,53,137,96,106,-14,32,32,23,5,20,14,16,-26,-332,-62,17,-21,-312,-48,33,1,17,3,-22,1690,1690,1690,1780,1779,15.72166147,12.06238515,12.14460554,12.74477883,9.046788861,9.97928827,2.976882646,3.015596287,2.165317266,1.860551654,1.319323376,1.506307663,-30.88515745,-5.842717806,1.600451892,-29.0246058,-4.523394431,3.106759556
50,3,6,1,13,Alabama,Butler County,20947,20946,20944,20662,-1.346448,20265,-2,-282,-278,-119,68,274,231,244,63,276,264,250,5,-2,-33,-6,1,5,5,5,-6,-291,-252,-108,-5,-286,-247,-103,-2,6,2,-10,333,333,333,333,333,13.17117723,11.25566438,12.00521538,13.26731721,12.86361643,12.3004256,-0.09613998,-1.607952054,-0.295210214,0.24034995,0.243629099,0.246008512,-13.98836706,-12.27890659,-5.313783857,-13.74801711,-12.03527749,-5.067775345
50,3,6,1,15,Alabama,Calhoun County,118572,118572,118448,117769,-0.573247,116736,-124,-679,-516,-517,323,1386,1370,1353,312,1382,1360,1379,11,4,10,-26,10,28,39,29,-139,-665,-559,-468,-129,-637,-520,-439,-6,-46,-6,-52,2919,2921,2867,2942,2943,11.7349725,11.65848304,11.5646462,11.70110534,11.57338462,11.78687887,0.033867165,0.085098416,-0.222232669,0.237070152,0.331883824,0.2478749,-5.6304161,-4.757001472,-4.000188043,-5.393345949,-4.425117649,-3.752313143
50,3,6,1,17,Alabama,Chambers County,34215,34170,34110,33995,-0.337145,34162,-60,-115,79,88,94,401,384,391,80,450,472,471,14,-49,-88,-80,7,28,26,26,-75,-87,139,117,-68,-59,165,143,-6,-7,2,25,458,458,458,458,458,11.77593422,11.28266906,11.46022627,13.21488878,13.86828072,13.8050296,-1.438954555,-2.585611659,-2.34480333,0.822259746,0.763930717,0.762061082,-2.554878496,4.084091143,3.42927487,-1.73261875,4.84802186,4.191335952
50,3,6,1,19,Alabama,Cherokee County,25989,25986,25968,26088,0.462107,26203,-18,120,-32,147,46,221,242,239,110,313,311,297,-64,-92,-69,-58,3,13,13,14,45,173,27,167,48,186,40,181,-2,26,-3,24,290,290,290,290,290,8.490856001,9.28198834,9.146749842,12.02551099,11.92850568,11.36646319,-3.534654987,-2.646517337,-2.219713351,0.499462118,0.498619208,0.535792878,6.646688182,1.03559374,6.391243614,7.1461503,1.534212949,6.927036491
